split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error,tune_val_auc,tune_best_params
split_1+15,Old,none,0.636291,0.066301,0.554664,0.421603,0.035980,0.270279,0.578397,0.575945,"{""max_depth"": 32, ""max_features"": ""log2"", ""min_samples_leaf"": 4, ""min_samples_split"": 4, ""n_estimators"": 400}"
split_1+15,Old,undersampling,0.628830,0.057107,0.374878,0.156794,0.034911,0.103710,0.843206,0.571995,"{""max_depth"": 20, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""min_samples_split"": 16, ""n_estimators"": 800}"
split_1+15,Old,oversampling,0.612339,0.058767,0.566212,0.529617,0.031109,0.394664,0.470383,0.545012,"{""max_depth"": 24, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""min_samples_split"": 4, ""n_estimators"": 400}"
split_1+15,Old,hybrid,0.598745,0.057680,0.548177,0.459930,0.030769,0.346644,0.540070,0.564842,"{""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""min_samples_split"": 4, ""n_estimators"": 200}"
split_1+15,New,none,0.858791,0.214947,0.695498,0.526132,0.135063,0.080617,0.473868,0.836741,"{""max_depth"": 32, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""min_samples_split"": 4, ""n_estimators"": 800}"
split_1+15,New,undersampling,0.862087,0.227306,0.704059,0.536585,0.144195,0.076198,0.463415,0.833869,"{""max_depth"": null, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""min_samples_split"": 8, ""n_estimators"": 800}"
split_1+15,New,oversampling,0.801220,0.133056,0.624409,0.445993,0.078192,0.125802,0.554007,0.754106,"{""max_depth"": null, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 800}"
split_1+15,New,hybrid,0.816932,0.159221,0.656523,0.484321,0.095271,0.110046,0.515679,0.769878,"{""max_depth"": 32, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 4, ""n_estimators"": 400}"
split_1+15,Retrain,none,0.859615,0.243728,0.668199,0.473868,0.164053,0.057774,0.526132,0.822131,"{""max_depth"": 32, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""min_samples_split"": 8, ""n_estimators"": 800}"
split_1+15,Retrain,undersampling,0.853927,0.212575,0.676285,0.494774,0.135367,0.075615,0.505226,0.829651,"{""max_depth"": 32, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 600}"
split_1+15,Retrain,oversampling,0.787514,0.135987,0.615294,0.428571,0.080815,0.116632,0.571429,0.739041,"{""max_depth"": 32, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""min_samples_split"": 4, ""n_estimators"": 200}"
split_1+15,Retrain,hybrid,0.816628,0.162162,0.610208,0.407666,0.101211,0.086619,0.592334,0.763767,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400}"
split_1+15,Finetune,none,0.840025,0.195278,0.694991,0.533101,0.119531,0.093956,0.466899,0.577239,"{""max_depth"": null, ""max_features"": ""log2"", ""min_samples_leaf"": 8, ""min_samples_split"": 32, ""n_estimators"": 400}"
